clock,pid,pname,event_name,pstate_prev,pstate_next,cpu
0000000167076A40,28,bufwrite,4,3,4,6
00000001670D0EA0,28,bufwrite,2,4,3,2
00000001670D7A20,34,bufwrite,2,4,3,0
00000001670EC300,5,bufwrite,4,3,4,1
00000001670FB060,15,bufwrite,4,3,4,5
0000000167108060,8,bufwrite,4,3,4,3
000000016710D180,32,bufwrite,2,4,3,6
00000001671203C0,5,bufwrite,2,4,3,1
0000000167122900,15,bufwrite,2,4,3,5
000000016712AD80,18,bufwrite,4,3,4,0
0000000167130440,33,bufwrite,4,3,4,7
0000000167133D60,8,bufwrite,2,4,3,3
00000001671583A0,12,bufwrite,4,3,4,2
000000016715E780,33,bufwrite,2,4,3,7
0000000167178DA0,16,bufwrite,4,3,4,6
0000000167179260,18,bufwrite,2,4,3,0
000000016717EB60,12,bufwrite,2,4,3,2
0000000167187160,22,bufwrite,4,3,4,4
000000016719EA00,27,bufwrite,4,3,4,1
00000001671A22A0,16,bufwrite,2,4,3,6
00000001671AB8E0,23,bufwrite,4,3,4,5
00000001671D9340,10,bufwrite,4,3,4,0
00000001671DB2A0,17,bufwrite,4,3,4,7
00000001671E5120,29,bufwrite,4,3,4,3
00000001671F4CA0,20,bufwrite,4,3,4,2
00000001671F81E0,27,bufwrite,2,4,3,1
000000016720D180,24,bufwrite,4,3,4,6
000000016720DFE0,23,bufwrite,2,4,3,5
0000000167216DE0,22,bufwrite,2,4,3,4
000000016721C960,17,bufwrite,2,4,3,7
0000000167223560,10,bufwrite,2,4,3,0
00000001672285A0,29,bufwrite,2,4,3,3
000000016725D0E0,20,bufwrite,2,4,3,2
0000000167261160,19,bufwrite,4,3,4,1
0000000167263480,25,bufwrite,4,3,4,7
0000000167267A80,9,bufwrite,4,3,4,4
000000016726FB20,26,bufwrite,4,3,4,0
0000000167277300,21,bufwrite,4,3,4,3
0000000167288340,24,bufwrite,2,4,3,6
000000016728CC60,9,bufwrite,2,4,3,4
000000016728CFC0,19,bufwrite,2,4,3,1
000000016728D6C0,25,bufwrite,2,4,3,7
00000001672A07C0,21,bufwrite,2,4,3,3
00000001672AFBA0,6,bufwrite,4,3,4,5
00000001672BCA60,26,bufwrite,2,4,3,0
00000001672C45E0,11,bufwrite,4,3,4,2
00000001672E66C0,6,bufwrite,2,4,3,5
00000001672E9F40,11,bufwrite,2,4,3,2
00000001672FAA00,35,bufwrite,4,3,4,1
00000001672FE5A0,7,bufwrite,4,3,4,7
00000001673094E0,32,bufwrite,4,3,4,6
