clock,pid,pname,event_name,pstate_prev,pstate_next,cpu
0000000160BE2720,3,bufwrite,2,4,3,6
0000000160C49A20,3,bufwrite,4,3,4,6
00000001618A1520,4,bufwrite,3,1,3,6
00000001618AE140,4,bufwrite,4,3,4,2
0000000161916580,4,bufwrite,2,4,3,2
0000000161955D00,4,bufwrite,4,3,4,2
00000001619B1BC0,4,bufwrite,2,4,3,2
00000001619DEFE0,4,bufwrite,4,3,4,2
0000000161A0FFC0,4,bufwrite,2,4,3,2
0000000161A36BA0,4,bufwrite,4,3,4,2
0000000161A71F20,4,bufwrite,2,4,3,2
0000000161A9EBE0,4,bufwrite,4,3,4,2
0000000161AE9680,4,bufwrite,2,4,3,2
0000000161B21280,4,bufwrite,4,3,4,2
0000000161B500C0,4,bufwrite,2,4,3,2
0000000161B87640,4,bufwrite,4,3,4,2
0000000161BC0AA0,4,bufwrite,2,4,3,2
0000000161BE37C0,4,bufwrite,4,3,4,2
0000000161C1D480,4,bufwrite,2,4,3,2
0000000161C5AC00,4,bufwrite,4,3,4,2
0000000161C8B400,4,bufwrite,2,4,3,2
0000000161CC5800,4,bufwrite,4,3,4,2
0000000161D085E0,4,bufwrite,2,4,3,2
0000000161D3D0A0,4,bufwrite,4,3,4,2
0000000161D7FC20,4,bufwrite,2,4,3,2
0000000161DB9B80,4,bufwrite,4,3,4,2
0000000161DFC5A0,4,bufwrite,2,4,3,2
0000000161E28DE0,4,bufwrite,4,3,4,2
0000000161E759A0,4,bufwrite,2,4,3,2
0000000161EA8D40,4,bufwrite,4,3,4,2
0000000161EEE740,4,bufwrite,2,4,3,2
0000000161F23CC0,4,bufwrite,4,3,4,2
0000000161F61AC0,4,bufwrite,2,4,3,2
0000000161F9E1C0,4,bufwrite,4,3,4,2
0000000161FE8A40,4,bufwrite,2,4,3,2
000000016201FCA0,4,bufwrite,4,3,4,2
000000016204CC00,5,bufwrite,3,1,3,6
0000000162062640,4,bufwrite,2,4,3,2
00000001620642E0,5,bufwrite,4,3,4,3
0000000162099FA0,4,bufwrite,4,3,4,2
00000001620BD340,5,bufwrite,2,4,3,3
00000001620DBD80,4,bufwrite,2,4,3,2
00000001620F01A0,5,bufwrite,4,3,4,3
000000016210E700,4,bufwrite,4,3,4,2
00000001621391C0,5,bufwrite,2,4,3,3
0000000162158A20,4,bufwrite,2,4,3,2
0000000162167D80,5,bufwrite,4,3,4,3
000000016217CCE0,4,bufwrite,4,3,4,2
000000016219F400,5,bufwrite,2,4,3,3
00000001621B8900,4,bufwrite,2,4,3,2
00000001621CF6E0,5,bufwrite,4,3,4,3
00000001621EA180,4,bufwrite,4,3,4,2
000000016220F540,5,bufwrite,2,4,3,3
0000000162230D00,4,bufwrite,2,4,3,2
000000016223CB60,5,bufwrite,4,3,4,3
000000016225CC80,4,bufwrite,4,3,4,2
0000000162280480,5,bufwrite,2,4,3,3
000000016229D9C0,4,bufwrite,2,4,3,2
00000001622A8180,5,bufwrite,4,3,4,3
00000001622C8100,4,bufwrite,4,3,4,2
00000001622E9180,5,bufwrite,2,4,3,3
00000001623029E0,4,bufwrite,2,4,3,2
000000016231E5A0,5,bufwrite,4,3,4,3
0000000162339E80,4,bufwrite,4,3,4,2
0000000162358CC0,5,bufwrite,2,4,3,3
00000001623747C0,4,bufwrite,2,4,3,2
000000016238C060,5,bufwrite,4,3,4,3
00000001623A2F20,4,bufwrite,4,3,4,2
00000001623CE860,5,bufwrite,2,4,3,3
00000001623E69E0,4,bufwrite,2,4,3,2
00000001623FCE00,5,bufwrite,4,3,4,3
0000000162413DC0,4,bufwrite,4,3,4,2
000000016243A3A0,5,bufwrite,2,4,3,3
0000000162456F60,4,bufwrite,2,4,3,2
00000001624630E0,5,bufwrite,4,3,4,3
0000000162485140,4,bufwrite,4,3,4,2
00000001624A19C0,5,bufwrite,2,4,3,3
00000001624C3C40,4,bufwrite,2,4,3,2
00000001624D8E80,5,bufwrite,4,3,4,3
00000001624F2040,4,bufwrite,4,3,4,2
0000000162519CA0,5,bufwrite,2,4,3,3
00000001625341E0,4,bufwrite,2,4,3,2
000000016254C360,5,bufwrite,4,3,4,3
0000000162560880,4,bufwrite,4,3,4,2
000000016259EF20,5,bufwrite,2,4,3,3
00000001625C4000,4,bufwrite,2,4,3,2
00000001625CB580,5,bufwrite,4,3,4,3
00000001625FC5E0,4,bufwrite,4,3,4,2
000000016260D2C0,5,bufwrite,2,4,3,3
0000000162644D00,5,bufwrite,4,3,4,3
00000001626547E0,4,bufwrite,2,4,3,2
0000000162680440,4,bufwrite,4,3,4,2
000000016269A180,5,bufwrite,2,4,3,3
00000001626C0E60,4,bufwrite,2,4,3,2
00000001626D38A0,5,bufwrite,4,3,4,3
00000001626EA9A0,4,bufwrite,4,3,4,2
0000000162715E80,5,bufwrite,2,4,3,3
0000000162739380,4,bufwrite,2,4,3,2
000000016275F080,4,bufwrite,4,3,4,2
000000016275F540,5,bufwrite,4,3,4,3
0000000162793AC0,5,bufwrite,2,4,3,3
00000001627BB760,4,bufwrite,2,4,3,2
00000001627C9060,5,bufwrite,4,3,4,3
00000001627D3700,6,bufwrite,3,1,3,6
00000001627DF740,6,bufwrite,4,3,4,4
00000001627F12E0,4,bufwrite,4,3,4,2
0000000162812FE0,5,bufwrite,2,4,3,3
000000016283E2A0,6,bufwrite,2,4,3,4
0000000162841700,5,bufwrite,4,3,4,3
000000016285AD00,4,bufwrite,2,4,3,2
000000016286DE80,6,bufwrite,4,3,4,4
0000000162885A00,4,bufwrite,4,3,4,2
00000001628904A0,5,bufwrite,2,4,3,3
00000001628B3700,6,bufwrite,2,4,3,4
00000001628B97A0,5,bufwrite,4,3,4,3
00000001628D2EA0,4,bufwrite,2,4,3,2
00000001628E57A0,6,bufwrite,4,3,4,4
00000001628F41E0,5,bufwrite,2,4,3,3
0000000162900A60,4,bufwrite,4,3,4,2
000000016292B040,5,bufwrite,4,3,4,3
000000016293CFC0,4,bufwrite,2,4,3,2
0000000162956140,6,bufwrite,2,4,3,4
0000000162966F00,4,bufwrite,4,3,4,2
00000001629743C0,5,bufwrite,2,4,3,3
0000000162981220,6,bufwrite,4,3,4,4
00000001629A6CE0,5,bufwrite,4,3,4,3
00000001629B1940,6,bufwrite,2,4,3,4
00000001629D2F80,4,bufwrite,2,4,3,2
00000001629D4760,6,bufwrite,4,3,4,4
00000001629EDFE0,5,bufwrite,2,4,3,3
00000001629FDD40,4,bufwrite,4,3,4,2
0000000162A2A5A0,5,bufwrite,4,3,4,3
0000000162A2C6A0,6,bufwrite,2,4,3,4
0000000162A42EA0,4,bufwrite,2,4,3,2
0000000162A54200,6,bufwrite,4,3,4,4
0000000162A5F640,3,bufwrite,2,4,3,6
0000000162A7B820,4,bufwrite,4,3,4,2
0000000162A996E0,3,bufwrite,4,3,4,6
0000000162A9A840,5,bufwrite,2,4,3,3
0000000162AB6C00,6,bufwrite,2,4,3,4
0000000162AC9560,5,bufwrite,4,3,4,3
0000000162ACF920,4,bufwrite,2,4,3,2
0000000162AE3320,6,bufwrite,4,3,4,4
0000000162AF85C0,4,bufwrite,4,3,4,2
0000000162B1B760,5,bufwrite,2,4,3,3
0000000162B2EF20,4,bufwrite,2,4,3,2
0000000162B40E60,5,bufwrite,4,3,4,3
0000000162B4D780,6,bufwrite,2,4,3,4
0000000162B598E0,4,bufwrite,4,3,4,2
0000000162B7B1C0,6,bufwrite,4,3,4,4
0000000162B8A2C0,5,bufwrite,2,4,3,3
0000000162BA8E40,4,bufwrite,2,4,3,2
0000000162BB74E0,5,bufwrite,4,3,4,3
0000000162BC6660,6,bufwrite,2,4,3,4
0000000162BD7440,4,bufwrite,4,3,4,2
0000000162BF7380,6,bufwrite,4,3,4,4
