clock,pid,pname,event_name,pstate_prev,pstate_next,cpu
00000001BAD71680,4,bufwrite,3,1,3,0
00000001BAD8F9C0,4,bufwrite,4,3,4,1
00000001BADC0AE0,4,bufwrite,2,4,3,1
00000001BADD0580,4,bufwrite,4,3,4,3
00000001BADF5060,4,bufwrite,2,4,3,3
00000001BAE040C0,4,bufwrite,4,3,4,1
00000001BAE142E0,4,bufwrite,2,4,3,1
00000001BAE22C00,4,bufwrite,4,3,4,2
00000001BAE31280,4,bufwrite,2,4,3,2
00000001BAE3F680,4,bufwrite,4,3,4,1
00000001BAE4C960,4,bufwrite,2,4,3,1
00000001BAE5AF40,4,bufwrite,4,3,4,2
00000001BAE6B560,4,bufwrite,2,4,3,2
00000001BAE78FE0,4,bufwrite,4,3,4,1
00000001BAE8B480,4,bufwrite,2,4,3,1
00000001BAE9BB20,4,bufwrite,4,3,4,2
00000001BAEB1BA0,4,bufwrite,2,4,3,2
00000001BAEC08C0,4,bufwrite,4,3,4,3
00000001BAED0480,4,bufwrite,2,4,3,3
00000001BAEDE5E0,4,bufwrite,4,3,4,2
00000001BAEEDF00,4,bufwrite,2,4,3,2
00000001BAEFBA20,4,bufwrite,4,3,4,1
00000001BAF060E0,4,bufwrite,2,4,3,1
00000001BAF13040,4,bufwrite,4,3,4,2
00000001BAF1EA40,4,bufwrite,2,4,3,2
00000001BAF2C5A0,4,bufwrite,4,3,4,3
00000001BAF40280,4,bufwrite,2,4,3,3
00000001BAF52BE0,4,bufwrite,4,3,4,1
00000001BAF605A0,4,bufwrite,2,4,3,1
00000001BAF6D340,4,bufwrite,4,3,4,3
00000001BAF7C140,4,bufwrite,2,4,3,3
00000001BAF89F40,4,bufwrite,4,3,4,1
00000001BAF96D60,4,bufwrite,2,4,3,1
00000001BAFA4600,4,bufwrite,4,3,4,3
00000001BAFAFF40,4,bufwrite,2,4,3,3
00000001BAFBD580,4,bufwrite,4,3,4,1
00000001BAFCA5A0,4,bufwrite,2,4,3,1
00000001BAFD8040,4,bufwrite,4,3,4,2
00000001BAFEB500,4,bufwrite,2,4,3,2
00000001BAFF8AC0,4,bufwrite,4,3,4,3
00000001BB0080C0,4,bufwrite,2,4,3,3
