clock,pid,pname,event_name,pstate_prev,pstate_next,cpu
0000000409F25B00,4,bufwrite,2,4,3,5
0000000409FC34C0,4,bufwrite,4,3,4,1
000000040A5507C0,5,bufwrite,3,1,3,1
000000040A56F0E0,5,bufwrite,4,3,4,3
000000040A5B5FA0,5,bufwrite,2,4,3,3
000000040A609580,5,bufwrite,4,3,4,5
000000040A68E380,5,bufwrite,2,4,3,5
000000040A6C06E0,5,bufwrite,4,3,4,4
000000040A6FD920,5,bufwrite,2,4,3,4
000000040A743800,5,bufwrite,4,3,4,0
000000040A77FD60,5,bufwrite,2,4,3,0
000000040A7C9660,5,bufwrite,4,3,4,0
000000040A809300,5,bufwrite,2,4,3,0
000000040A8569C0,5,bufwrite,4,3,4,0
000000040A882640,5,bufwrite,2,4,3,0
000000040A8C6160,5,bufwrite,4,3,4,0
000000040A8F36C0,5,bufwrite,2,4,3,0
000000040A93B2A0,5,bufwrite,4,3,4,0
000000040A973780,5,bufwrite,2,4,3,0
000000040A9AF660,5,bufwrite,4,3,4,0
000000040A9E1280,5,bufwrite,2,4,3,0
000000040AA23A80,5,bufwrite,4,3,4,0
000000040AA5F880,5,bufwrite,2,4,3,0
000000040AAB6240,5,bufwrite,4,3,4,0
000000040AAE9AA0,5,bufwrite,2,4,3,0
000000040AB380A0,5,bufwrite,4,3,4,0
000000040AB79E20,5,bufwrite,2,4,3,0
000000040ABC72A0,5,bufwrite,4,3,4,0
000000040ABFE1C0,5,bufwrite,2,4,3,0
000000040AC455E0,5,bufwrite,4,3,4,0
000000040AC90380,5,bufwrite,2,4,3,0
000000040ACDF280,5,bufwrite,4,3,4,0
000000040AD18880,5,bufwrite,2,4,3,0
000000040AD543E0,5,bufwrite,4,3,4,0
000000040AD891C0,5,bufwrite,2,4,3,0
000000040ADD42A0,5,bufwrite,4,3,4,0
000000040AE1DF00,5,bufwrite,2,4,3,0
000000040AE27760,6,bufwrite,3,1,3,1
000000040AE3A800,6,bufwrite,4,3,4,4
000000040AE67BA0,5,bufwrite,4,3,4,0
000000040AE7E4A0,6,bufwrite,2,4,3,4
000000040AEA4000,5,bufwrite,2,4,3,0
000000040AED4CC0,5,bufwrite,4,3,4,0
000000040AEDD180,6,bufwrite,4,3,4,5
000000040AF150E0,5,bufwrite,2,4,3,0
000000040AF2CBA0,6,bufwrite,2,4,3,5
000000040AF55F20,5,bufwrite,4,3,4,0
000000040AF652A0,6,bufwrite,4,3,4,2
000000040AF6ADE0,5,bufwrite,2,4,3,0
000000040AF84220,6,bufwrite,2,4,3,2
000000040AFA41E0,5,bufwrite,4,3,4,0
000000040AFC32E0,6,bufwrite,4,3,4,4
000000040AFCD280,5,bufwrite,2,4,3,0
000000040AFFB020,6,bufwrite,2,4,3,4
000000040B02BBE0,5,bufwrite,4,3,4,0
000000040B040120,6,bufwrite,4,3,4,2
000000040B051820,5,bufwrite,2,4,3,0
000000040B06F440,6,bufwrite,2,4,3,2
000000040B08A760,5,bufwrite,4,3,4,0
000000040B0B2DE0,5,bufwrite,2,4,3,0
000000040B0F2D60,6,bufwrite,4,3,4,5
000000040B0F5B20,5,bufwrite,4,3,4,0
000000040B12C440,6,bufwrite,2,4,3,5
000000040B135AA0,5,bufwrite,2,4,3,0
000000040B16DCA0,6,bufwrite,4,3,4,3
000000040B174C40,5,bufwrite,4,3,4,0
000000040B199940,5,bufwrite,2,4,3,0
000000040B1B9420,6,bufwrite,2,4,3,3
000000040B1E2A40,5,bufwrite,4,3,4,0
000000040B204BE0,5,bufwrite,2,4,3,0
000000040B210BE0,6,bufwrite,4,3,4,6
000000040B239300,5,bufwrite,4,3,4,0
000000040B245E20,6,bufwrite,2,4,3,6
000000040B27AD20,5,bufwrite,2,4,3,0
000000040B27F180,6,bufwrite,4,3,4,7
000000040B2AE720,5,bufwrite,4,3,4,0
000000040B2B8A00,6,bufwrite,2,4,3,7
000000040B2E5660,5,bufwrite,2,4,3,0
000000040B3097C0,6,bufwrite,4,3,4,5
000000040B30AAA0,5,bufwrite,4,3,4,0
000000040B331C60,5,bufwrite,2,4,3,0
000000040B3616E0,5,bufwrite,4,3,4,0
000000040B362100,6,bufwrite,2,4,3,5
000000040B38BC00,5,bufwrite,2,4,3,0
000000040B3A5E60,6,bufwrite,4,3,4,3
000000040B3B48E0,5,bufwrite,4,3,4,0
000000040B3E6DC0,5,bufwrite,2,4,3,0
000000040B3E9EA0,6,bufwrite,2,4,3,3
000000040B425600,5,bufwrite,4,3,4,0
000000040B437880,6,bufwrite,4,3,4,7
000000040B43A920,5,bufwrite,2,4,3,0
000000040B45A560,6,bufwrite,2,4,3,7
000000040B467620,5,bufwrite,4,3,4,0
