clock,pid,pname,event_name,pstate_prev,pstate_next,cpu
00000002963ACE20,4,bufwrite,3,1,3,0
0000000296660B80,5,bufwrite,3,1,3,0
000000029666F6E0,3,bufwrite,7,4,2,0
00000002966803A0,4,bufwrite,4,3,4,0
000000029696DA60,4,bufwrite,2,4,3,0
000000029698B1A0,5,bufwrite,4,3,4,0
0000000296CBCD60,5,bufwrite,7,4,2,0
0000000296CCC180,4,bufwrite,4,3,4,0
000000029880F040,5,bufwrite,1,2,3,0
000000029883C3C0,4,bufwrite,2,4,3,0
000000029884A0E0,5,bufwrite,4,3,4,0
00000002988542E0,5,bufwrite,7,4,2,0
0000000298860880,4,bufwrite,4,3,4,0
000000029A52DF60,5,bufwrite,1,2,3,0
000000029A534880,4,bufwrite,2,4,3,0
000000029A549520,5,bufwrite,4,3,4,0
000000029A54EA00,5,bufwrite,7,4,2,0
000000029A55A6E0,4,bufwrite,4,3,4,0
000000029C3B1E60,5,bufwrite,1,2,3,0
000000029C3B7BC0,4,bufwrite,2,4,3,0
000000029C3C9E60,5,bufwrite,4,3,4,0
000000029C3CECC0,5,bufwrite,7,4,2,0
000000029C3DA740,4,bufwrite,4,3,4,0
000000029E236180,5,bufwrite,1,2,3,0
000000029E23BDE0,4,bufwrite,2,4,3,0
000000029E24BA40,5,bufwrite,4,3,4,0
000000029E252500,5,bufwrite,7,4,2,0
000000029E25E120,4,bufwrite,4,3,4,0
00000002A00AFD00,5,bufwrite,1,2,3,0
00000002A00B56A0,4,bufwrite,2,4,3,0
00000002A00C6000,5,bufwrite,4,3,4,0
00000002A00CABC0,5,bufwrite,7,4,2,0
00000002A00D6960,4,bufwrite,4,3,4,0
00000002A1F35680,5,bufwrite,1,2,3,0
00000002A1F3AFC0,4,bufwrite,2,4,3,0
00000002A1F4B620,5,bufwrite,4,3,4,0
00000002A1F501A0,5,bufwrite,7,4,2,0
00000002A1F5C300,4,bufwrite,4,3,4,0
00000002A3DC0820,5,bufwrite,1,2,3,0
00000002A3DC6180,4,bufwrite,2,4,3,0
00000002A3DD5A80,5,bufwrite,4,3,4,0
00000002A3DDA660,5,bufwrite,7,4,2,0
00000002A3DE6920,4,bufwrite,4,3,4,0
00000002A5C47940,5,bufwrite,1,2,3,0
00000002A5C4D200,4,bufwrite,2,4,3,0
00000002A5C5D800,5,bufwrite,4,3,4,0
00000002A5C62300,5,bufwrite,7,4,2,0
00000002A5C6EA00,4,bufwrite,4,3,4,0
00000002A7ACC400,5,bufwrite,1,2,3,0
00000002A7AD1D00,4,bufwrite,2,4,3,0
00000002A7AE2480,5,bufwrite,4,3,4,0
00000002A7AE7040,5,bufwrite,7,4,2,0
00000002A7AF3A00,4,bufwrite,4,3,4,0
00000002A994FE80,5,bufwrite,1,2,3,0
00000002A9955740,4,bufwrite,2,4,3,0
00000002A99650A0,5,bufwrite,4,3,4,0
00000002A9969BC0,5,bufwrite,7,4,2,0
00000002A9976880,4,bufwrite,4,3,4,0
00000002AB7CC6C0,5,bufwrite,1,2,3,0
00000002AB7D3AA0,4,bufwrite,2,4,3,0
00000002AB7E2120,5,bufwrite,4,3,4,0
00000002AB7E7620,5,bufwrite,7,4,2,0
00000002AB7F27A0,4,bufwrite,4,3,4,0
00000002AD656880,5,bufwrite,1,2,3,0
00000002AD65C1E0,4,bufwrite,2,4,3,0
00000002AD66CEA0,5,bufwrite,4,3,4,0
00000002AF4E3FA0,5,bufwrite,2,4,3,0
00000002AF4F9580,5,bufwrite,4,3,4,0
00000002B1367F20,5,bufwrite,2,4,3,0
00000002B1377940,4,bufwrite,4,3,4,0
00000002B31E9DC0,4,bufwrite,2,4,3,0
00000002B31FC400,5,bufwrite,4,3,4,0
00000002B5067C60,5,bufwrite,2,4,3,0
00000002B50795E0,4,bufwrite,4,3,4,0
00000002B6EED940,4,bufwrite,2,4,3,0
00000002B6F00720,5,bufwrite,4,3,4,0
00000002B8D77380,5,bufwrite,2,4,3,0
00000002B8D8AF80,4,bufwrite,4,3,4,0
00000002BABFDFC0,4,bufwrite,2,4,3,0
00000002BAC114C0,5,bufwrite,4,3,4,0
00000002BCA82440,5,bufwrite,2,4,3,0
00000002BCA96B40,4,bufwrite,4,3,4,0
00000002BE909AE0,4,bufwrite,2,4,3,0
00000002BE91CA00,5,bufwrite,4,3,4,0
00000002C0782CE0,5,bufwrite,2,4,3,0
00000002C07948C0,4,bufwrite,4,3,4,0
00000002C260CCE0,4,bufwrite,2,4,3,0
00000002C261BA40,5,bufwrite,4,3,4,0
00000002C44938C0,5,bufwrite,2,4,3,0
00000002C44A0400,4,bufwrite,4,3,4,0
00000002C63151C0,4,bufwrite,2,4,3,0
00000002C6323B00,5,bufwrite,4,3,4,0
00000002C819D4E0,5,bufwrite,2,4,3,0
00000002C81AEF00,4,bufwrite,4,3,4,0
00000002C9ADC8E0,3,bufwrite,1,2,3,0
00000002C9AE9FA0,4,bufwrite,5,4,5,0
00000002C9AFD0C0,3,bufwrite,4,3,4,0
00000002C9B0B800,4,bufwrite,6,5,0,0
00000002C9C67D20,3,bufwrite,7,4,2,0
00000002C9C79280,5,bufwrite,4,3,4,0
00000002CA01AB40,5,bufwrite,2,4,3,0
00000002CA02F760,5,bufwrite,4,3,4,0
00000002CBE9D1E0,5,bufwrite,2,4,3,0
00000002CBEB1C20,5,bufwrite,4,3,4,0
00000002CDD2A060,5,bufwrite,2,4,3,0
00000002CDD3B7A0,5,bufwrite,4,3,4,0
00000002CFBADC60,5,bufwrite,2,4,3,0
00000002CFBBE1A0,5,bufwrite,4,3,4,0
00000002D1A34340,5,bufwrite,2,4,3,0
00000002D1A43A00,5,bufwrite,4,3,4,0
00000002D38B7080,5,bufwrite,2,4,3,0
00000002D38C83C0,5,bufwrite,4,3,4,0
00000002D5732D20,5,bufwrite,2,4,3,0
00000002D5744440,5,bufwrite,4,3,4,0
00000002D75BD360,5,bufwrite,2,4,3,0
00000002D75CABC0,5,bufwrite,4,3,4,0
00000002D9441420,5,bufwrite,2,4,3,0
00000002D94514E0,5,bufwrite,4,3,4,0
00000002DB2C8A60,5,bufwrite,2,4,3,0
00000002DB2D8B20,5,bufwrite,4,3,4,0
00000002DD14D9E0,5,bufwrite,2,4,3,0
00000002DD163F00,5,bufwrite,4,3,4,0
00000002DEBF4C60,3,bufwrite,1,2,3,0
00000002DEBF56A0,5,bufwrite,5,4,5,0
00000002DEC042A0,3,bufwrite,4,3,4,0
00000002DEC05140,5,bufwrite,6,5,0,0
00000002DED71900,3,bufwrite,5,4,5,0
00000002DED81CC0,3,bufwrite,6,5,0,0
