clock,pid,pname,event_name,pstate_prev,pstate_next,cpu
0000000176D31280,4,bufwrite,3,1,3,0
00000001770BA500,5,bufwrite,3,1,3,0
00000001770C9B40,3,bufwrite,7,4,2,0
00000001770DA380,4,bufwrite,4,3,4,0
0000000177F9F5C0,4,bufwrite,2,4,3,0
0000000177FB4E60,5,bufwrite,4,3,4,0
0000000178228840,5,bufwrite,7,4,2,0
0000000178235380,4,bufwrite,4,3,4,0
0000000179E33800,5,bufwrite,1,2,3,0
0000000179E3A780,4,bufwrite,2,4,3,0
0000000179E4D8C0,5,bufwrite,4,3,4,0
0000000179E58380,5,bufwrite,7,4,2,0
0000000179E63C40,4,bufwrite,4,3,4,0
000000017BCA20A0,5,bufwrite,1,2,3,0
000000017BCA7920,4,bufwrite,2,4,3,0
000000017BCB7DE0,5,bufwrite,4,3,4,0
000000017BCBCBC0,5,bufwrite,7,4,2,0
000000017BCC8040,4,bufwrite,4,3,4,0
000000017DB34620,5,bufwrite,1,2,3,0
000000017DB39CA0,4,bufwrite,2,4,3,0
000000017DB48CC0,5,bufwrite,4,3,4,0
000000017DB4D800,5,bufwrite,7,4,2,0
000000017DB58E00,4,bufwrite,4,3,4,0
000000017F9B2C80,5,bufwrite,1,2,3,0
000000017F9B90C0,4,bufwrite,2,4,3,0
000000017F9CD740,5,bufwrite,4,3,4,0
000000017F9D2780,5,bufwrite,7,4,2,0
000000017F9DE420,4,bufwrite,4,3,4,0
000000018183CE40,5,bufwrite,1,2,3,0
00000001818424A0,4,bufwrite,2,4,3,0
00000001818523C0,5,bufwrite,4,3,4,0
0000000181856F00,5,bufwrite,7,4,2,0
0000000181862900,4,bufwrite,4,3,4,0
00000001836B9B60,5,bufwrite,1,2,3,0
00000001836BF280,4,bufwrite,2,4,3,0
00000001836CCCC0,5,bufwrite,4,3,4,0
00000001836D1B20,5,bufwrite,7,4,2,0
00000001836DDB20,4,bufwrite,4,3,4,0
000000018553D520,5,bufwrite,1,2,3,0
0000000185542A60,4,bufwrite,2,4,3,0
0000000185550B00,5,bufwrite,4,3,4,0
0000000185555520,5,bufwrite,7,4,2,0
0000000185560940,4,bufwrite,4,3,4,0
00000001873BA760,5,bufwrite,1,2,3,0
00000001873BFCC0,4,bufwrite,2,4,3,0
00000001873CDCC0,5,bufwrite,4,3,4,0
00000001873D2600,5,bufwrite,7,4,2,0
00000001873DE8C0,4,bufwrite,4,3,4,0
000000018924FFA0,5,bufwrite,1,2,3,0
00000001892557A0,4,bufwrite,2,4,3,0
0000000189268E00,5,bufwrite,4,3,4,0
000000018926D900,5,bufwrite,7,4,2,0
0000000189279E00,4,bufwrite,4,3,4,0
000000018B0CB320,5,bufwrite,1,2,3,0
000000018B0D08A0,4,bufwrite,2,4,3,0
000000018B0DE620,5,bufwrite,4,3,4,0
000000018B0E3260,5,bufwrite,7,4,2,0
000000018B0EFC00,4,bufwrite,4,3,4,0
000000018CF580A0,5,bufwrite,1,2,3,0
000000018CF5D5A0,4,bufwrite,2,4,3,0
000000018CF6B000,5,bufwrite,4,3,4,0
000000018CF705A0,5,bufwrite,7,4,2,0
000000018CF7CEA0,4,bufwrite,4,3,4,0
000000018EDD45E0,5,bufwrite,1,2,3,0
000000018EDD9B60,4,bufwrite,2,4,3,0
000000018EDE7FC0,5,bufwrite,4,3,4,0
0000000190C5EFE0,5,bufwrite,2,4,3,0
0000000190C73980,5,bufwrite,4,3,4,0
0000000192AE28A0,5,bufwrite,2,4,3,0
0000000192AF7080,5,bufwrite,4,3,4,0
0000000194970640,5,bufwrite,2,4,3,0
00000001949800C0,5,bufwrite,4,3,4,0
00000001967EAD00,5,bufwrite,2,4,3,0
00000001967FA280,5,bufwrite,4,3,4,0
0000000198676C00,5,bufwrite,2,4,3,0
0000000198687100,5,bufwrite,4,3,4,0
000000019A4EBC40,5,bufwrite,2,4,3,0
000000019A4FAA20,5,bufwrite,4,3,4,0
000000019C3784C0,5,bufwrite,2,4,3,0
000000019C38E580,5,bufwrite,4,3,4,0
000000019E1FCEE0,5,bufwrite,2,4,3,0
000000019E20CA80,5,bufwrite,4,3,4,0
00000001A0089BA0,5,bufwrite,2,4,3,0
00000001A0099940,5,bufwrite,4,3,4,0
00000001A1F055E0,5,bufwrite,2,4,3,0
00000001A1F153C0,5,bufwrite,4,3,4,0
00000001A3D925A0,5,bufwrite,2,4,3,0
00000001A3DA2AA0,5,bufwrite,4,3,4,0
00000001A5C08620,5,bufwrite,2,4,3,0
00000001A5C1C400,5,bufwrite,4,3,4,0
00000001A7A99F20,5,bufwrite,2,4,3,0
00000001A7AA99E0,4,bufwrite,4,3,4,0
00000001A9917460,4,bufwrite,2,4,3,0
00000001A99270C0,5,bufwrite,4,3,4,0
00000001AB7A4CC0,5,bufwrite,2,4,3,0
00000001AB7B46A0,4,bufwrite,4,3,4,0
00000001AD61FF80,4,bufwrite,2,4,3,0
00000001AD62FDC0,5,bufwrite,4,3,4,0
00000001AF4A6560,5,bufwrite,2,4,3,0
00000001AF4BA160,4,bufwrite,4,3,4,0
00000001B131FE00,4,bufwrite,2,4,3,0
00000001B132FA80,5,bufwrite,4,3,4,0
00000001B31B61E0,5,bufwrite,2,4,3,0
00000001B31C7560,4,bufwrite,4,3,4,0
00000001B5034620,4,bufwrite,2,4,3,0
00000001B5044A00,5,bufwrite,4,3,4,0
00000001B6EBE620,5,bufwrite,2,4,3,0
00000001B6ECF500,4,bufwrite,4,3,4,0
00000001B8D3C040,4,bufwrite,2,4,3,0
00000001B8D52740,5,bufwrite,4,3,4,0
00000001B98F5F20,3,bufwrite,1,2,3,0
00000001B99035C0,5,bufwrite,5,4,5,0
00000001B99161C0,3,bufwrite,4,3,4,0
00000001B9924340,5,bufwrite,6,5,0,0
00000001B9A83E40,3,bufwrite,7,4,2,0
00000001B9A975A0,4,bufwrite,4,3,4,0
00000001BA7127C0,3,bufwrite,1,2,3,0
00000001BA713080,4,bufwrite,5,4,5,0
00000001BA721DE0,3,bufwrite,4,3,4,0
00000001BA7229A0,4,bufwrite,6,5,0,0
00000001BA870E60,3,bufwrite,5,4,5,0
00000001BA8808A0,3,bufwrite,6,5,0,0
