clock,pid,pname,event_name,pstate_prev,pstate_next,cpu
0000000214416FE0,20,bufwrite,4,3,4,2
000000021446AAE0,32,bufwrite,2,4,3,6
000000021446C240,6,bufwrite,2,4,3,3
000000021446D7E0,20,bufwrite,2,4,3,2
000000021447CC60,11,bufwrite,4,3,4,1
00000002144996E0,11,bufwrite,2,4,3,1
00000002144A6360,25,bufwrite,4,3,4,7
00000002144B5FC0,34,bufwrite,2,4,3,0
00000002144B62C0,7,bufwrite,4,3,4,2
00000002144BF0E0,30,bufwrite,4,3,4,4
00000002144C1C80,21,bufwrite,4,3,4,3
00000002144CC280,25,bufwrite,2,4,3,7
00000002144E1FC0,21,bufwrite,2,4,3,3
00000002144E23E0,7,bufwrite,2,4,3,2
00000002144EA480,19,bufwrite,4,3,4,1
00000002144EC3E0,30,bufwrite,2,4,3,4
00000002144FDAE0,19,bufwrite,2,4,3,1
00000002145167C0,16,bufwrite,4,3,4,6
0000000214525400,17,bufwrite,4,3,4,7
0000000214525B60,10,bufwrite,4,3,4,0
0000000214527D40,28,bufwrite,4,3,4,2
000000021453EF80,29,bufwrite,4,3,4,3
0000000214542F40,10,bufwrite,2,4,3,0
0000000214546DC0,28,bufwrite,2,4,3,2
000000021454C5A0,16,bufwrite,2,4,3,6
000000021455B640,17,bufwrite,2,4,3,7
000000021456F860,14,bufwrite,4,3,4,4
00000002145762C0,27,bufwrite,4,3,4,1
0000000214577580,12,bufwrite,4,3,4,5
00000002145A9F40,12,bufwrite,2,4,3,5
00000002145AEDE0,14,bufwrite,2,4,3,4
00000002145C02A0,27,bufwrite,2,4,3,1
00000002145C1A80,26,bufwrite,4,3,4,0
00000002145C4E20,29,bufwrite,2,4,3,3
00000002145C5AA0,33,bufwrite,4,3,4,7
00000002145C8520,24,bufwrite,4,3,4,6
00000002145CD100,20,bufwrite,4,3,4,2
00000002145EA120,33,bufwrite,2,4,3,7
00000002145EE7A0,31,bufwrite,4,3,4,5
00000002145F3200,26,bufwrite,2,4,3,0
0000000214600FA0,22,bufwrite,4,3,4,4
000000021460A7E0,20,bufwrite,2,4,3,2
000000021460F8C0,31,bufwrite,2,4,3,5
00000002146183A0,13,bufwrite,4,3,4,3
