clock,pid,pname,event_name,pstate_prev,pstate_next,cpu
00000001ECF68F80,3,bufwrite,2,4,3,2
00000001F06A4E80,3,bufwrite,4,3,4,1
00000001F08B6860,4,bufwrite,3,1,3,1
00000001F08BF600,4,bufwrite,4,3,4,2
00000001F08ECCC0,3,bufwrite,2,4,3,1
00000001F09450A0,3,bufwrite,4,3,4,0
00000001F0C62DA0,4,bufwrite,2,4,3,2
00000001F0C9BD20,4,bufwrite,4,3,4,1
00000001F0D590A0,5,bufwrite,3,1,3,0
00000001F0D68680,5,bufwrite,4,3,4,2
00000001F0DBA660,4,bufwrite,7,4,2,1
00000001F0DC1D00,4,bufwrite,1,2,3,2
00000001F0DDA640,4,bufwrite,4,3,4,1
00000001F0E28320,5,bufwrite,7,4,2,2
00000001F0E2F760,5,bufwrite,1,2,3,1
00000001F0E445E0,5,bufwrite,4,3,4,2
00000001F10AC740,6,bufwrite,3,1,3,0
00000001F13931E0,7,bufwrite,3,1,3,0
00000001F139F3E0,3,bufwrite,7,4,2,0
00000001F13B2460,6,bufwrite,4,3,4,0
00000001F2524480,6,bufwrite,2,4,3,0
00000001F253A4E0,7,bufwrite,4,3,4,0
00000001F2774D20,4,bufwrite,2,4,3,1
00000001F27902E0,4,bufwrite,4,3,4,1
00000001F2AD3CE0,5,bufwrite,2,4,3,2
00000001F2AED680,5,bufwrite,4,3,4,2
00000001F43A2C80,7,bufwrite,2,4,3,0
00000001F43B8B60,6,bufwrite,4,3,4,0
00000001F45F5200,4,bufwrite,2,4,3,1
00000001F4609620,4,bufwrite,4,3,4,1
00000001F49591C0,5,bufwrite,2,4,3,2
00000001F496DDC0,5,bufwrite,4,3,4,2
00000001F6227440,6,bufwrite,2,4,3,0
00000001F623C4A0,7,bufwrite,4,3,4,0
00000001F64789A0,4,bufwrite,2,4,3,1
00000001F648A380,4,bufwrite,4,3,4,1
00000001F67DD2C0,5,bufwrite,2,4,3,2
00000001F67F1A40,5,bufwrite,4,3,4,2
00000001F80AD840,7,bufwrite,2,4,3,0
00000001F80C1840,6,bufwrite,4,3,4,0
00000001F82FE6A0,4,bufwrite,2,4,3,1
00000001F8316360,4,bufwrite,4,3,4,1
00000001F8661580,5,bufwrite,2,4,3,2
00000001F8673780,5,bufwrite,4,3,4,2
00000001F9F25F00,6,bufwrite,2,4,3,0
00000001F9F398C0,7,bufwrite,4,3,4,0
00000001FA181D00,4,bufwrite,2,4,3,1
00000001FA194AC0,4,bufwrite,4,3,4,1
00000001FA4E5EA0,5,bufwrite,2,4,3,2
00000001FA4F7E00,5,bufwrite,4,3,4,2
00000001FBDB6660,7,bufwrite,2,4,3,0
00000001FBDC8B20,6,bufwrite,4,3,4,0
