clock,pid,pname,event_name,pstate_prev,pstate_next,cpu
00000001C4D0FC40,4,bufwrite,3,1,3,0
00000001C4FB9740,5,bufwrite,3,1,3,0
00000001C4FC7D40,3,bufwrite,7,4,2,0
00000001C4FD4620,4,bufwrite,4,3,4,0
00000001C641DB60,4,bufwrite,2,4,3,0
00000001C6433BC0,5,bufwrite,4,3,4,0
00000001C66BFD60,5,bufwrite,7,4,2,0
00000001C66CC4C0,4,bufwrite,4,3,4,0
00000001C82A3C20,5,bufwrite,1,2,3,0
00000001C82AAA40,4,bufwrite,2,4,3,0
00000001C82BE0A0,5,bufwrite,4,3,4,0
00000001C82C91A0,5,bufwrite,7,4,2,0
00000001C82D4C60,4,bufwrite,4,3,4,0
00000001CA125060,5,bufwrite,1,2,3,0
00000001CA12AA60,4,bufwrite,2,4,3,0
00000001CA13CD20,5,bufwrite,4,3,4,0
00000001CA141F60,5,bufwrite,7,4,2,0
00000001CA14DA20,4,bufwrite,4,3,4,0
00000001CBFA8E00,5,bufwrite,1,2,3,0
00000001CBFAEAC0,4,bufwrite,2,4,3,0
00000001CBFBD440,5,bufwrite,4,3,4,0
00000001CBFC3960,5,bufwrite,7,4,2,0
00000001CBFCF6E0,4,bufwrite,4,3,4,0
00000001CDE2F940,5,bufwrite,1,2,3,0
00000001CDE353A0,4,bufwrite,2,4,3,0
00000001CDE43D20,5,bufwrite,4,3,4,0
00000001CDE48E00,5,bufwrite,7,4,2,0
00000001CDE54C40,4,bufwrite,4,3,4,0
00000001CFCAB560,5,bufwrite,1,2,3,0
00000001CFCB0E80,4,bufwrite,2,4,3,0
00000001CFCC0080,5,bufwrite,4,3,4,0
00000001CFCC4BE0,5,bufwrite,7,4,2,0
00000001CFCD0B80,4,bufwrite,4,3,4,0
00000001D1B37F20,5,bufwrite,1,2,3,0
00000001D1B3D760,4,bufwrite,2,4,3,0
00000001D1B4AFE0,5,bufwrite,4,3,4,0
00000001D1B505C0,5,bufwrite,7,4,2,0
00000001D1B5C920,4,bufwrite,4,3,4,0
00000001D39BC8C0,5,bufwrite,1,2,3,0
00000001D39C2180,4,bufwrite,2,4,3,0
00000001D39D13A0,5,bufwrite,4,3,4,0
00000001D39D5E80,5,bufwrite,7,4,2,0
00000001D39E23C0,4,bufwrite,4,3,4,0
00000001D5841080,5,bufwrite,1,2,3,0
00000001D58469A0,4,bufwrite,2,4,3,0
00000001D58572E0,5,bufwrite,4,3,4,0
00000001D585BDA0,5,bufwrite,7,4,2,0
00000001D5868700,4,bufwrite,4,3,4,0
