clock,pid,pname,event_name,pstate_prev,pstate_next,cpu
000000018A2CBB60,4,bufwrite,4,1,4,2
000000018A323E60,4,bufwrite,2,4,3,2
000000018A386EC0,4,bufwrite,4,3,4,2
000000018A3CA160,4,bufwrite,2,4,3,2
000000018A41F620,4,bufwrite,4,3,4,2
000000018A47D380,4,bufwrite,2,4,3,2
000000018A4D4220,4,bufwrite,4,3,4,2
000000018A4FB780,4,bufwrite,2,4,3,2
000000018A55C780,4,bufwrite,4,3,4,2
000000018A59CA00,4,bufwrite,2,4,3,2
000000018A5EF1C0,4,bufwrite,4,3,4,2
000000018A622240,4,bufwrite,2,4,3,2
000000018A670BA0,4,bufwrite,4,3,4,2
000000018A6A4B00,4,bufwrite,2,4,3,2
000000018A6EB400,4,bufwrite,4,3,4,2
000000018A728340,4,bufwrite,2,4,3,2
000000018A786D00,4,bufwrite,4,3,4,2
000000018A7C4920,4,bufwrite,2,4,3,2
000000018A81C800,4,bufwrite,4,3,4,2
000000018A851800,4,bufwrite,2,4,3,2
000000018A8BB840,4,bufwrite,4,3,4,2
000000018A8F8DE0,4,bufwrite,2,4,3,2
000000018A946020,4,bufwrite,4,3,4,2
000000018A979C60,4,bufwrite,2,4,3,2
000000018A9CEF40,3,bufwrite,2,4,3,7
000000018AA1E3E0,4,bufwrite,2,4,3,2
000000018AA2F580,3,bufwrite,4,3,4,7
000000018AA73020,4,bufwrite,4,3,4,2
000000018AAC3C40,4,bufwrite,2,4,3,2
000000018AB176C0,4,bufwrite,4,3,4,2
000000018AB58B40,4,bufwrite,2,4,3,2
000000018ABA9120,4,bufwrite,4,3,4,2
000000018ABE34E0,4,bufwrite,2,4,3,2
000000018AC02600,5,bufwrite,3,1,3,7
000000018AC2FF40,5,bufwrite,4,3,4,3
000000018AC3D060,4,bufwrite,4,3,4,2
000000018AC73AA0,4,bufwrite,2,4,3,2
000000018ACB20C0,5,bufwrite,2,4,3,3
000000018ACC2D00,4,bufwrite,4,3,4,2
000000018AD03CC0,4,bufwrite,2,4,3,2
