clock,pid,pname,event_name,pstate_prev,pstate_next,cpu
0000000153AB1FE0,3,bufwrite,2,4,3,0
0000000153B4DCC0,3,bufwrite,4,3,4,0
000000015498DEA0,4,bufwrite,4,1,4,2
00000001549901E0,4,bufwrite,3,1,3,0
00000001549CF080,4,bufwrite,2,3,3,2
0000000154A2EA60,4,bufwrite,4,3,4,5
0000000154A89820,4,bufwrite,2,4,3,5
0000000154AC5B00,4,bufwrite,4,3,4,1
0000000154AE5020,4,bufwrite,2,4,3,1
0000000154B21C40,4,bufwrite,4,3,4,5
0000000154B43960,4,bufwrite,2,4,3,5
0000000154B7C2C0,4,bufwrite,4,3,4,1
0000000154BBEB80,4,bufwrite,2,4,3,1
0000000154BEF2C0,4,bufwrite,4,3,4,7
0000000154C32880,4,bufwrite,2,4,3,7
0000000154CD3700,4,bufwrite,4,3,4,3
0000000154D37BA0,4,bufwrite,2,4,3,3
0000000154D79180,4,bufwrite,4,3,4,2
0000000154DAA020,4,bufwrite,2,4,3,2
0000000154DE8560,4,bufwrite,4,3,4,4
0000000154E2B800,4,bufwrite,2,4,3,4
0000000154E673A0,4,bufwrite,4,3,4,1
0000000154EA0580,4,bufwrite,2,4,3,1
0000000154ED8D00,4,bufwrite,4,3,4,5
0000000154F02260,4,bufwrite,2,4,3,5
0000000154F4E640,4,bufwrite,4,3,4,3
0000000154F7FB20,4,bufwrite,2,4,3,3
0000000154FFD0C0,4,bufwrite,4,3,4,2
000000015502ECC0,4,bufwrite,2,4,3,2
0000000155076520,4,bufwrite,4,3,4,7
00000001550BADC0,4,bufwrite,2,4,3,7
0000000155123C40,4,bufwrite,4,3,4,1
000000015515E6E0,4,bufwrite,2,4,3,1
00000001551DD400,4,bufwrite,4,3,4,5
000000015521D980,4,bufwrite,2,4,3,5
0000000155251B80,4,bufwrite,4,3,4,1
0000000155285420,4,bufwrite,2,4,3,1
00000001552B7C80,5,bufwrite,3,1,3,0
00000001552D0600,4,bufwrite,4,3,4,4
00000001552E6580,5,bufwrite,4,3,4,7
000000015530AC20,4,bufwrite,2,4,3,4
000000015532ABC0,5,bufwrite,2,4,3,7
000000015534F520,4,bufwrite,4,3,4,6
00000001553651C0,5,bufwrite,4,3,4,7
0000000155398E20,4,bufwrite,2,4,3,6
00000001553A7F00,5,bufwrite,2,4,3,7
