clock,pid,pname,event_name,pstate_prev,pstate_next,cpu
00000002515A3680,4,bufwrite,3,1,3,0
000000025165CFE0,3,bufwrite,2,4,3,0
000000025166E0E0,4,bufwrite,4,3,4,0
000000025342F060,4,bufwrite,2,4,3,0
0000000253445640,3,bufwrite,4,3,4,0
0000000253664BC0,5,bufwrite,3,1,3,0
0000000253676E00,3,bufwrite,7,4,2,0
0000000253684440,4,bufwrite,4,3,4,0
000000025536F220,4,bufwrite,2,4,3,0
000000025537FBE0,5,bufwrite,4,3,4,0
000000025561CC60,5,bufwrite,7,4,2,0
0000000255629800,4,bufwrite,4,3,4,0
000000025712EC60,5,bufwrite,1,2,3,0
00000002571354C0,4,bufwrite,2,4,3,0
0000000257145500,5,bufwrite,4,3,4,0
0000000257150400,5,bufwrite,7,4,2,0
000000025715C1E0,4,bufwrite,4,3,4,0
000000025906B060,5,bufwrite,1,2,3,0
0000000259070EA0,4,bufwrite,2,4,3,0
000000025907EFC0,5,bufwrite,4,3,4,0
0000000259083F80,5,bufwrite,7,4,2,0
000000025908F160,4,bufwrite,4,3,4,0
000000025AEF7140,5,bufwrite,1,2,3,0
000000025AEFCF60,4,bufwrite,2,4,3,0
000000025AF09F60,5,bufwrite,4,3,4,0
000000025AF0F6E0,5,bufwrite,7,4,2,0
000000025AF1AE80,4,bufwrite,4,3,4,0
000000025CCC3740,5,bufwrite,1,2,3,0
000000025CCC9320,4,bufwrite,2,4,3,0
000000025CCD61C0,5,bufwrite,4,3,4,0
000000025CCDC0C0,5,bufwrite,7,4,2,0
000000025CCE74A0,4,bufwrite,4,3,4,0
000000025EB47860,5,bufwrite,1,2,3,0
000000025EB4CFA0,4,bufwrite,2,4,3,0
000000025EB59DE0,5,bufwrite,4,3,4,0
000000025EB5EF40,5,bufwrite,7,4,2,0
000000025EB69E00,4,bufwrite,4,3,4,0
00000002609C4280,5,bufwrite,1,2,3,0
00000002609C9920,4,bufwrite,2,4,3,0
00000002609D6C40,5,bufwrite,4,3,4,0
00000002609DC860,5,bufwrite,7,4,2,0
00000002609E7600,4,bufwrite,4,3,4,0
0000000262834C80,5,bufwrite,1,2,3,0
000000026283BC20,4,bufwrite,2,4,3,0
000000026284D0C0,5,bufwrite,4,3,4,0
00000002628522A0,5,bufwrite,7,4,2,0
000000026285D520,4,bufwrite,4,3,4,0
00000002646D49E0,5,bufwrite,1,2,3,0
00000002646DA160,4,bufwrite,2,4,3,0
00000002646EA600,5,bufwrite,4,3,4,0
00000002646EF340,5,bufwrite,7,4,2,0
00000002646FA000,4,bufwrite,4,3,4,0
00000002665597E0,5,bufwrite,1,2,3,0
000000026655EE60,4,bufwrite,2,4,3,0
000000026656B740,5,bufwrite,4,3,4,0
0000000266570800,5,bufwrite,7,4,2,0
