clock,pid,pname,event_name,pstate_prev,pstate_next,cpu
00000001ECD44060,9,bufwrite,4,3,4,7
00000001ECD891A0,29,bufwrite,2,4,3,3
00000001ECD9E740,9,bufwrite,2,4,3,7
00000001ECDB5160,30,bufwrite,2,4,3,4
00000001ECDC1940,7,bufwrite,4,3,4,5
00000001ECDD7280,24,bufwrite,4,3,4,6
00000001ECDE50C0,7,bufwrite,2,4,3,5
00000001ECDE9420,13,bufwrite,4,3,4,3
00000001ECDEA5E0,28,bufwrite,4,3,4,2
00000001ECDF8760,27,bufwrite,4,3,4,1
00000001ECE02740,24,bufwrite,2,4,3,6
00000001ECE14CC0,5,bufwrite,4,3,4,4
00000001ECE177E0,28,bufwrite,2,4,3,2
00000001ECE267A0,13,bufwrite,2,4,3,3
00000001ECE28DA0,27,bufwrite,2,4,3,1
00000001ECE2BF20,31,bufwrite,4,3,4,5
00000001ECE4B480,17,bufwrite,4,3,4,7
00000001ECE56800,31,bufwrite,2,4,3,5
00000001ECE68100,11,bufwrite,4,3,4,1
00000001ECE6F520,36,bufwrite,3,1,3,0
00000001ECE8EAA0,20,bufwrite,4,3,4,2
00000001ECE90860,32,bufwrite,4,3,4,6
00000001ECE97DE0,8,bufwrite,4,3,4,3
00000001ECE9C440,11,bufwrite,2,4,3,1
00000001ECE9FA40,5,bufwrite,2,4,3,4
00000001ECEA2FA0,17,bufwrite,2,4,3,7
00000001ECEB0AE0,8,bufwrite,2,4,3,3
00000001ECEB2F60,4,bufwrite,7,4,2,0
00000001ECED3520,20,bufwrite,2,4,3,2
00000001ECEDF200,32,bufwrite,2,4,3,6
00000001ECF0E7C0,19,bufwrite,4,3,4,1
00000001ECF0F260,25,bufwrite,4,3,4,7
00000001ECF134A0,10,bufwrite,4,3,4,0
00000001ECF19BE0,12,bufwrite,4,3,4,2
00000001ECF1C7E0,22,bufwrite,4,3,4,4
00000001ECF1D7C0,16,bufwrite,4,3,4,6
00000001ECF298C0,21,bufwrite,4,3,4,3
00000001ECF33BC0,19,bufwrite,2,4,3,1
00000001ECF344E0,23,bufwrite,4,3,4,5
00000001ECF42C00,10,bufwrite,2,4,3,0
00000001ECF58980,25,bufwrite,2,4,3,7
00000001ECF5AD80,22,bufwrite,2,4,3,4
00000001ECF5E800,12,bufwrite,2,4,3,2
00000001ECF6B2C0,16,bufwrite,2,4,3,6
00000001ECF73860,21,bufwrite,2,4,3,3
00000001ECF752E0,23,bufwrite,2,4,3,5
00000001ECF91FC0,14,bufwrite,4,3,4,4
00000001ECF95200,35,bufwrite,4,3,4,1
00000001ECFADAE0,33,bufwrite,4,3,4,7
00000001ECFB58A0,15,bufwrite,4,3,4,5
00000001ECFB98E0,14,bufwrite,2,4,3,4
00000001ECFBBCE0,35,bufwrite,2,4,3,1
00000001ECFD5900,29,bufwrite,4,3,4,3
00000001ECFD7780,36,bufwrite,4,3,4,2
00000001ECFDFD00,33,bufwrite,2,4,3,7
00000001ECFF1B80,15,bufwrite,2,4,3,5
00000001ECFF4B00,29,bufwrite,2,4,3,3
00000001ECFF8EC0,18,bufwrite,4,3,4,0
00000001ED00DCC0,36,bufwrite,2,4,3,2
00000001ED017820,30,bufwrite,4,3,4,4
00000001ED024F40,6,bufwrite,4,3,4,6
00000001ED0310C0,30,bufwrite,2,4,3,4
00000001ED041DE0,6,bufwrite,2,4,3,6
00000001ED0537C0,7,bufwrite,4,3,4,5
00000001ED05F7C0,9,bufwrite,4,3,4,7
00000001ED06B0E0,18,bufwrite,2,4,3,0
00000001ED0779A0,7,bufwrite,2,4,3,5
00000001ED078340,28,bufwrite,4,3,4,2
00000001ED07B940,5,bufwrite,4,3,4,4
00000001ED089D60,13,bufwrite,4,3,4,3
00000001ED08BEE0,9,bufwrite,2,4,3,7
00000001ED0A8AA0,27,bufwrite,4,3,4,1
00000001ED0AA640,5,bufwrite,2,4,3,4
00000001ED0AD100,28,bufwrite,2,4,3,2
00000001ED0C16E0,24,bufwrite,4,3,4,6
00000001ED0C1800,31,bufwrite,4,3,4,5
00000001ED0D3440,27,bufwrite,2,4,3,1
00000001ED0D4700,17,bufwrite,4,3,4,7
00000001ED0D8D80,26,bufwrite,4,3,4,0
00000001ED0EF860,31,bufwrite,2,4,3,5
00000001ED0F0300,17,bufwrite,2,4,3,7
00000001ED0F3840,22,bufwrite,4,3,4,4
00000001ED108940,13,bufwrite,2,4,3,3
00000001ED10A0C0,24,bufwrite,2,4,3,6
00000001ED127A60,11,bufwrite,4,3,4,1
00000001ED12B440,23,bufwrite,4,3,4,5
00000001ED12F1A0,20,bufwrite,4,3,4,2
00000001ED130200,25,bufwrite,4,3,4,7
00000001ED141F00,26,bufwrite,2,4,3,0
00000001ED142720,22,bufwrite,2,4,3,4
00000001ED15F0E0,11,bufwrite,2,4,3,1
00000001ED15FAE0,32,bufwrite,4,3,4,6
00000001ED166400,20,bufwrite,2,4,3,2
00000001ED1684A0,23,bufwrite,2,4,3,5
00000001ED1769A0,8,bufwrite,4,3,4,3
00000001ED186540,25,bufwrite,2,4,3,7
00000001ED18BBC0,14,bufwrite,4,3,4,4
00000001ED1960C0,12,bufwrite,4,3,4,2
00000001ED19C140,32,bufwrite,2,4,3,6
00000001ED1B3A80,8,bufwrite,2,4,3,3
00000001ED1C4900,33,bufwrite,4,3,4,7
00000001ED1C90E0,12,bufwrite,2,4,3,2
00000001ED1CE060,15,bufwrite,4,3,4,5
00000001ED1DB0A0,16,bufwrite,4,3,4,6
00000001ED1DBC80,19,bufwrite,4,3,4,1
00000001ED1EEDC0,21,bufwrite,4,3,4,3
00000001ED1F6580,33,bufwrite,2,4,3,7
00000001ED20F4A0,16,bufwrite,2,4,3,6
00000001ED20FA20,15,bufwrite,2,4,3,5
00000001ED21F000,21,bufwrite,2,4,3,3
00000001ED2226E0,34,bufwrite,4,3,4,0
00000001ED2238A0,14,bufwrite,2,4,3,4
00000001ED22CB60,19,bufwrite,2,4,3,1
00000001ED24C560,30,bufwrite,4,3,4,4
00000001ED255780,34,bufwrite,2,4,3,0
00000001ED257700,9,bufwrite,4,3,4,7
00000001ED2581E0,36,bufwrite,4,3,4,2
00000001ED26AA20,30,bufwrite,2,4,3,4
00000001ED2788E0,6,bufwrite,4,3,4,6
00000001ED2881E0,35,bufwrite,4,3,4,1
00000001ED28EBC0,9,bufwrite,2,4,3,7
00000001ED295C80,36,bufwrite,2,4,3,2
00000001ED29DF80,7,bufwrite,4,3,4,5
00000001ED2AC440,35,bufwrite,2,4,3,1
00000001ED2B36A0,5,bufwrite,4,3,4,4
00000001ED2B56A0,29,bufwrite,4,3,4,3
00000001ED2D2380,17,bufwrite,4,3,4,7
00000001ED2D6520,10,bufwrite,4,3,4,0
00000001ED2D70E0,28,bufwrite,4,3,4,2
00000001ED2EA760,27,bufwrite,4,3,4,1
00000001ED2F5200,29,bufwrite,2,4,3,3
00000001ED2F6400,6,bufwrite,2,4,3,6
00000001ED301500,7,bufwrite,2,4,3,5
00000001ED305360,5,bufwrite,2,4,3,4
00000001ED3097A0,17,bufwrite,2,4,3,7
00000001ED3153E0,28,bufwrite,2,4,3,2
00000001ED31BF80,27,bufwrite,2,4,3,1
00000001ED31EA40,10,bufwrite,2,4,3,0
00000001ED343C20,24,bufwrite,4,3,4,6
00000001ED3545C0,31,bufwrite,4,3,4,5
00000001ED35C5A0,24,bufwrite,2,4,3,6
00000001ED36F8C0,13,bufwrite,4,3,4,3
00000001ED376640,31,bufwrite,2,4,3,5
00000001ED3816C0,25,bufwrite,4,3,4,7
00000001ED3861C0,11,bufwrite,4,3,4,1
00000001ED388E20,13,bufwrite,2,4,3,3
00000001ED3AE9C0,32,bufwrite,4,3,4,6
00000001ED3B7C40,23,bufwrite,4,3,4,5
00000001ED3BAA80,25,bufwrite,2,4,3,7
00000001ED3C2440,18,bufwrite,4,3,4,0
00000001ED3C5980,20,bufwrite,4,3,4,2
00000001ED3C66E0,11,bufwrite,2,4,3,1
00000001ED3CCC80,8,bufwrite,4,3,4,3
00000001ED3D8780,22,bufwrite,4,3,4,4
00000001ED3DD000,23,bufwrite,2,4,3,5
00000001ED3EF520,32,bufwrite,2,4,3,6
00000001ED3F46C0,20,bufwrite,2,4,3,2
00000001ED4165C0,8,bufwrite,2,4,3,3
00000001ED41CB80,15,bufwrite,4,3,4,5
00000001ED4235E0,18,bufwrite,2,4,3,0
00000001ED427C20,33,bufwrite,4,3,4,7
00000001ED42BD80,22,bufwrite,2,4,3,4
00000001ED4328E0,16,bufwrite,4,3,4,6
00000001ED4543C0,16,bufwrite,2,4,3,6
00000001ED456B40,12,bufwrite,4,3,4,2
00000001ED467360,15,bufwrite,2,4,3,5
00000001ED46CE60,19,bufwrite,4,3,4,1
00000001ED47AD40,21,bufwrite,4,3,4,3
00000001ED483DE0,26,bufwrite,4,3,4,0
00000001ED485420,12,bufwrite,2,4,3,2
00000001ED485920,14,bufwrite,4,3,4,4
00000001ED489320,33,bufwrite,2,4,3,7
00000001ED4AD1C0,21,bufwrite,2,4,3,3
00000001ED4AD520,19,bufwrite,2,4,3,1
00000001ED4B0C20,26,bufwrite,2,4,3,0
00000001ED4B3160,14,bufwrite,2,4,3,4
00000001ED4CD200,6,bufwrite,4,3,4,6
00000001ED4CFFC0,7,bufwrite,4,3,4,5
00000001ED4E65C0,35,bufwrite,4,3,4,1
00000001ED4EA880,6,bufwrite,2,4,3,6
00000001ED500C00,35,bufwrite,2,4,3,1
00000001ED505EE0,29,bufwrite,4,3,4,3
00000001ED513860,7,bufwrite,2,4,3,5
00000001ED515BE0,30,bufwrite,4,3,4,4
00000001ED515CC0,9,bufwrite,4,3,4,7
00000001ED51B6A0,36,bufwrite,4,3,4,2
00000001ED5326E0,24,bufwrite,4,3,4,6
00000001ED5415A0,29,bufwrite,2,4,3,3
00000001ED545BC0,36,bufwrite,2,4,3,2
00000001ED54A200,30,bufwrite,2,4,3,4
00000001ED57AC00,24,bufwrite,2,4,3,6
00000001ED57EF00,9,bufwrite,2,4,3,7
00000001ED5824C0,27,bufwrite,4,3,4,1
00000001ED585CA0,5,bufwrite,4,3,4,4
00000001ED58C620,28,bufwrite,4,3,4,2
00000001ED5910A0,31,bufwrite,4,3,4,5
00000001ED596B60,34,bufwrite,4,3,4,0
00000001ED599280,13,bufwrite,4,3,4,3
00000001ED5A60C0,27,bufwrite,2,4,3,1
00000001ED5BEDE0,31,bufwrite,2,4,3,5
00000001ED5C10C0,34,bufwrite,2,4,3,0
00000001ED5C2900,13,bufwrite,2,4,3,3
00000001ED5C7C60,32,bufwrite,4,3,4,6
00000001ED5CC3A0,5,bufwrite,2,4,3,4
00000001ED5E1960,28,bufwrite,2,4,3,2
00000001ED5E7020,32,bufwrite,2,4,3,6
00000001ED5FE360,22,bufwrite,4,3,4,4
00000001ED610E00,20,bufwrite,4,3,4,2
00000001ED618A20,11,bufwrite,4,3,4,1
00000001ED61A260,17,bufwrite,4,3,4,7
00000001ED6213C0,23,bufwrite,4,3,4,5
00000001ED629760,22,bufwrite,2,4,3,4
00000001ED64DA00,20,bufwrite,2,4,3,2
00000001ED6599C0,11,bufwrite,2,4,3,1
00000001ED65ACC0,17,bufwrite,2,4,3,7
00000001ED65D5C0,8,bufwrite,4,3,4,3
00000001ED664B60,23,bufwrite,2,4,3,5
00000001ED6672A0,10,bufwrite,4,3,4,0
00000001ED68F720,10,bufwrite,2,4,3,0
00000001ED691BC0,12,bufwrite,4,3,4,2
00000001ED696660,16,bufwrite,4,3,4,6
00000001ED6AC8C0,19,bufwrite,4,3,4,1
00000001ED6B3820,12,bufwrite,2,4,3,2
00000001ED6B5460,8,bufwrite,2,4,3,3
00000001ED6B5780,14,bufwrite,4,3,4,4
00000001ED6C6E80,16,bufwrite,2,4,3,6
00000001ED6D63A0,19,bufwrite,2,4,3,1
00000001ED6D6F80,15,bufwrite,4,3,4,5
00000001ED6DD660,25,bufwrite,4,3,4,7
00000001ED6E95C0,14,bufwrite,2,4,3,4
00000001ED6F0740,18,bufwrite,4,3,4,0
00000001ED6FE840,15,bufwrite,2,4,3,5
00000001ED703DC0,25,bufwrite,2,4,3,7
00000001ED72BA60,18,bufwrite,2,4,3,0
00000001ED732BE0,36,bufwrite,4,3,4,2
00000001ED73D520,30,bufwrite,4,3,4,4
00000001ED741B80,21,bufwrite,4,3,4,3
00000001ED751CE0,6,bufwrite,4,3,4,6
00000001ED753EA0,7,bufwrite,4,3,4,5
00000001ED756F80,35,bufwrite,4,3,4,1
00000001ED764AC0,26,bufwrite,4,3,4,0
00000001ED76A4A0,36,bufwrite,2,4,3,2
00000001ED76E180,33,bufwrite,4,3,4,7
00000001ED783280,7,bufwrite,2,4,3,5
00000001ED7866A0,30,bufwrite,2,4,3,4
00000001ED78AE00,21,bufwrite,2,4,3,3
00000001ED7901E0,35,bufwrite,2,4,3,1
00000001ED791E60,6,bufwrite,2,4,3,6
00000001ED7AAE80,26,bufwrite,2,4,3,0
00000001ED7B9320,29,bufwrite,4,3,4,3
00000001ED7C8600,33,bufwrite,2,4,3,7
00000001ED7CC240,28,bufwrite,4,3,4,2
00000001ED7DD380,29,bufwrite,2,4,3,3
00000001ED7E8440,31,bufwrite,4,3,4,5
00000001ED7F97C0,28,bufwrite,2,4,3,2
00000001ED7FB5E0,5,bufwrite,4,3,4,4
00000001ED7FC8A0,34,bufwrite,4,3,4,0
00000001ED800780,24,bufwrite,4,3,4,6
00000001ED811200,9,bufwrite,4,3,4,7
00000001ED819100,5,bufwrite,2,4,3,4
00000001ED82DE20,34,bufwrite,2,4,3,0
00000001ED83F5E0,27,bufwrite,4,3,4,1
00000001ED84F720,20,bufwrite,4,3,4,2
00000001ED851220,31,bufwrite,2,4,3,5
00000001ED851500,13,bufwrite,4,3,4,3
